base,date,currency,rate
USD,2009-01-21,EEK,12.1197521301
USD,2009-01-21,EUR,0.7745933385
USD,2009-01-21,GBP,0.7270333075
USD,2009-01-21,HKD,7.7588690937
USD,2009-01-21,HRK,5.7474825716
USD,2009-01-21,HUF,220.4337722696
USD,2009-01-21,IDR,11200.0
USD,2009-01-21,ILS,-
USD,2009-01-21,INR,49.2099147947
USD,2009-01-21,ISK,-
USD,2009-01-21,JPY,89.9380325329
USD,2009-01-21,KRW,1374.9264136328
USD,2009-01-21,LTL,2.6745158792
USD,2009-01-21,LVL,0.5443841983
USD,2009-01-21,MXN,13.9500387297
USD,2009-01-21,MYR,3.6164988381
USD,2009-01-21,NOK,7.0143299768
USD,2009-01-21,NZD,1.9273431448
USD,2009-01-21,PHP,47.4980635167
USD,2009-01-21,PLN,3.3667699458
USD,2009-01-21,RON,3.3422153369
USD,2009-01-21,RUB,32.857087529
USD,2009-01-21,SEK,8.3408210689
USD,2009-01-21,SGD,1.5041053447
USD,2009-01-21,SKK,-
USD,2009-01-21,THB,34.945003873
USD,2009-01-21,TRY,1.6618900077
USD,2009-01-21,USD,1.0
USD,2009-01-21,ZAR,10.2279628195
USD,2009-01-22,AUD,1.5248767714
USD,2009-01-22,BGN,1.5063154652
USD,2009-01-22,BRL,2.3304836722
USD,2009-01-22,CAD,1.2624768946
USD,2009-01-22,CHF,1.1580406654
USD,2009-01-22,CNY,6.8371072089
USD,2009-01-22,CZK,21.3339494763
USD,2009-01-22,DKK,5.740064695
USD,2009-01-22,EEK,12.0506777572
USD,2009-01-22,EUR,0.7701786815
USD,2009-01-22,GBP,0.7271256932
USD,2009-01-22,HKD,7.7590881084
USD,2009-01-22,HRK,5.7314386938
USD,2009-01-22,HUF,217.775723968
USD,2009-01-22,IDR,11250.0
USD,2009-01-22,ILS,-
USD,2009-01-22,INR,48.9248305607
USD,2009-01-22,ISK,-
USD,2009-01-22,JPY,88.5551447936
USD,2009-01-22,KRW,1382.016327788
USD,2009-01-22,LTL,2.6592729513
USD,2009-01-22,LVL,0.5417436845
USD,2009-01-22,MXN,13.7810382009
USD,2009-01-22,MYR,3.6082871226
USD,2009-01-22,NOK,6.9547134935
USD,2009-01-22,NZD,1.8932532348
USD,2009-01-22,PHP,47.2966728281
USD,2009-01-22,PLN,3.3314078866
USD,2009-01-22,RON,3.332948244
USD,2009-01-22,RUB,32.6314695009
USD,2009-01-22,SEK,8.2335951941
USD,2009-01-22,SGD,1.4963031423
USD,2009-01-22,SKK,-
USD,2009-01-22,THB,34.915280345
USD,2009-01-22,TRY,1.6523413432
USD,2009-01-22,USD,1.0
USD,2009-01-22,ZAR,10.0624614911
USD,2009-01-23,AUD,1.5502930832
USD,2009-01-23,BGN,1.528565846
USD,2009-01-23,BRL,2.3541227042
USD,2009-01-23,CAD,1.2572880031
USD,2009-01-23,CHF,1.1688159437
USD,2009-01-23,CNY,6.8379835873
USD,2009-01-23,CZK,21.9663931223
USD,2009-01-23,DKK,5.8253223916
USD,2009-01-23,EEK,12.2286830793
USD,2009-01-23,EUR,0.781555295
USD,2009-01-23,GBP,0.7336459555
USD,2009-01-23,HKD,7.7559984369
USD,2009-01-23,HRK,5.781398984
USD,2009-01-23,HUF,226.5338022665
USD,2009-01-23,IDR,11330.0039077765
USD,2009-01-23,ILS,-
USD,2009-01-23,INR,49.1598280578
USD,2009-01-23,ISK,-
USD,2009-01-23,JPY,88.823759281
USD,2009-01-23,KRW,1397.0300898789
USD,2009-01-23,LTL,2.6985541227
USD,2009-01-23,LVL,0.5503712388
USD,2009-01-23,MXN,14.1799921844
USD,2009-01-23,MYR,3.6254787026
USD,2009-01-23,NOK,7.0293083236
USD,2009-01-23,NZD,1.9220007816
USD,2009-01-23,PHP,47.3466197733
USD,2009-01-23,PLN,3.4704962876
USD,2009-01-23,RON,3.3648300117
USD,2009-01-23,RUB,33.0578350918
USD,2009-01-23,SEK,8.3671746776
USD,2009-01-23,SGD,1.5069949199
USD,2009-01-23,SKK,-
USD,2009-01-23,THB,34.9152012505
USD,2009-01-23,TRY,1.6751074639
USD,2009-01-23,USD,1.0
USD,2009-01-23,ZAR,10.3228604924
USD,2009-01-26,AUD,1.5221709007
USD,2009-01-26,BGN,1.5056197075
USD,2009-01-26,BRL,2.3133179369
USD,2009-01-26,CAD,1.2212471132
USD,2009-01-26,CHF,1.1571208622
USD,2009-01-26,CNY,6.8380292533
USD,2009-01-26,CZK,21.3333333333
USD,2009-01-26,DKK,5.7378752887
USD,2009-01-26,EEK,12.0451116243
USD,2009-01-26,EUR,0.7698229407
USD,2009-01-26,GBP,0.7232486528
USD,2009-01-26,HKD,7.7586605081
USD,2009-01-26,HRK,5.7087759815
USD,2009-01-26,HUF,219.7151655119
USD,2009-01-26,IDR,11330.0
USD,2009-01-26,ILS,-
USD,2009-01-26,INR,48.5696689761
USD,2009-01-26,ISK,-
USD,2009-01-26,JPY,89.1608929946
USD,2009-01-26,KRW,1405.5504234026
USD,2009-01-26,LTL,2.6580446497
USD,2009-01-26,LVL,0.5419553503
USD,2009-01-26,MXN,13.9500384911
USD,2009-01-26,MYR,3.6254811393
USD,2009-01-26,NOK,6.8464203233
USD,2009-01-26,NZD,1.8953810624
USD,2009-01-26,PHP,47.3518090839
USD,2009-01-26,PLN,3.3433410316
USD,2009-01-26,RON,3.2730561971
USD,2009-01-26,RUB,32.9890685142
USD,2009-01-26,SEK,8.1601231717
USD,2009-01-26,SGD,1.4989992302
USD,2009-01-26,SKK,-
USD,2009-01-26,THB,34.8953040801
USD,2009-01-26,TRY,1.6421093149
USD,2009-01-26,USD,1.0
USD,2009-01-26,ZAR,10.0899923018
USD,2009-01-27,AUD,1.509336572
USD,2009-01-27,BGN,1.4845908608
USD,2009-01-27,BRL,2.3122817671
USD,2009-01-27,CAD,1.2289357826
USD,2009-01-27,CHF,1.1398967664
USD,2009-01-27,CNY,6.8380142705
USD,2009-01-27,CZK,20.9792014574
USD,2009-01-27,DKK,5.6571276757
USD,2009-01-27,EEK,11.8768787005
USD,2009-01-27,EUR,0.7590708972
USD,2009-01-27,GBP,0.7098831031
USD,2009-01-27,HKD,7.7592227114
USD,2009-01-27,HRK,5.5873690603
USD,2009-01-27,HUF,216.5781083953
USD,2009-01-27,IDR,11325.0037953545
USD,2009-01-27,ILS,-
USD,2009-01-27,INR,48.7748595719
USD,2009-01-27,ISK,-
